,Topic,Discipline,Quantity
570,42,CHEMISTRY,2
571,43,CHEMISTRY,0
572,44,CHEMISTRY,4
573,45,CHEMISTRY,27
574,46,CHEMISTRY,4
575,47,CHEMISTRY,0
576,0,COMPUTER SCIENCE,0
577,1,COMPUTER SCIENCE,0
578,2,COMPUTER SCIENCE,0
579,3,COMPUTER SCIENCE,0
580,4,COMPUTER SCIENCE,0
581,5,COMPUTER SCIENCE,0
582,6,COMPUTER SCIENCE,0
583,7,COMPUTER SCIENCE,0
584,8,COMPUTER SCIENCE,0
585,9,COMPUTER SCIENCE,0
586,10,COMPUTER SCIENCE,0
587,11,COMPUTER SCIENCE,0
588,12,COMPUTER SCIENCE,0
589,13,COMPUTER SCIENCE,0
590,14,COMPUTER SCIENCE,0
591,15,COMPUTER SCIENCE,0
592,16,COMPUTER SCIENCE,0
593,17,COMPUTER SCIENCE,8
594,18,COMPUTER SCIENCE,0
595,19,COMPUTER SCIENCE,0
596,20,COMPUTER SCIENCE,0
597,21,COMPUTER SCIENCE,0
598,22,COMPUTER SCIENCE,0
599,23,COMPUTER SCIENCE,0
600,24,COMPUTER SCIENCE,0
601,25,COMPUTER SCIENCE,0
602,26,COMPUTER SCIENCE,0
603,27,COMPUTER SCIENCE,0
604,28,COMPUTER SCIENCE,0
605,29,COMPUTER SCIENCE,0
606,30,COMPUTER SCIENCE,0
607,31,COMPUTER SCIENCE,0
608,32,COMPUTER SCIENCE,0
609,33,COMPUTER SCIENCE,0
610,34,COMPUTER SCIENCE,0
611,35,COMPUTER SCIENCE,0
612,36,COMPUTER SCIENCE,0
613,37,COMPUTER SCIENCE,0
614,38,COMPUTER SCIENCE,0
615,39,COMPUTER SCIENCE,0
616,40,COMPUTER SCIENCE,1
617,41,COMPUTER SCIENCE,0
618,42,COMPUTER SCIENCE,0
619,43,COMPUTER SCIENCE,0
620,44,COMPUTER SCIENCE,0
621,45,COMPUTER SCIENCE,0
622,46,COMPUTER SCIENCE,0
623,47,COMPUTER SCIENCE,0
624,0,PHYSICS,0
625,1,PHYSICS,0
626,2,PHYSICS,0
627,3,PHYSICS,3
628,4,PHYSICS,0
629,5,PHYSICS,1
630,6,PHYSICS,4
631,7,PHYSICS,0
632,8,PHYSICS,0
633,9,PHYSICS,3
634,10,PHYSICS,0
635,11,PHYSICS,0
636,12,PHYSICS,0
637,13,PHYSICS,0
638,14,PHYSICS,0
639,15,PHYSICS,0
640,16,PHYSICS,0
641,17,PHYSICS,6
642,18,PHYSICS,0
643,19,PHYSICS,0
644,20,PHYSICS,2
645,21,PHYSICS,0
646,22,PHYSICS,1
647,23,PHYSICS,127
648,24,PHYSICS,0
649,25,PHYSICS,10
650,26,PHYSICS,0
651,27,PHYSICS,0
652,28,PHYSICS,0
653,29,PHYSICS,0
654,30,PHYSICS,0
655,31,PHYSICS,0
656,32,PHYSICS,0
657,33,PHYSICS,0
658,34,PHYSICS,0
659,35,PHYSICS,0
660,36,PHYSICS,0
661,37,PHYSICS,0
662,38,PHYSICS,0
663,39,PHYSICS,0
664,40,PHYSICS,1
665,41,PHYSICS,0
666,42,PHYSICS,0
667,43,PHYSICS,0
668,44,PHYSICS,0
669,45,PHYSICS,0
670,46,PHYSICS,0
671,47,PHYSICS,0
672,0,NEUROSCIENCE & BEHAVIOR,0
673,1,NEUROSCIENCE & BEHAVIOR,3
674,2,NEUROSCIENCE & BEHAVIOR,115
675,3,NEUROSCIENCE & BEHAVIOR,0
676,4,NEUROSCIENCE & BEHAVIOR,8
677,5,NEUROSCIENCE & BEHAVIOR,2
678,6,NEUROSCIENCE & BEHAVIOR,23
679,7,NEUROSCIENCE & BEHAVIOR,107
680,8,NEUROSCIENCE & BEHAVIOR,1
681,9,NEUROSCIENCE & BEHAVIOR,14
682,10,NEUROSCIENCE & BEHAVIOR,10
683,11,NEUROSCIENCE & BEHAVIOR,3
684,12,NEUROSCIENCE & BEHAVIOR,8
685,13,NEUROSCIENCE & BEHAVIOR,0
686,14,NEUROSCIENCE & BEHAVIOR,0
687,15,NEUROSCIENCE & BEHAVIOR,0
