,Topic,Discipline,Quantity
622,46,COMPUTER SCIENCE,4
623,47,COMPUTER SCIENCE,0
624,0,PHYSICS,7
625,1,PHYSICS,36
626,2,PHYSICS,144
627,3,PHYSICS,2
628,4,PHYSICS,1
629,5,PHYSICS,0
630,6,PHYSICS,23
631,7,PHYSICS,19
632,8,PHYSICS,542
633,9,PHYSICS,0
634,10,PHYSICS,0
635,11,PHYSICS,2
636,12,PHYSICS,69
637,13,PHYSICS,0
638,14,PHYSICS,84
639,15,PHYSICS,0
640,16,PHYSICS,0
641,17,PHYSICS,4
642,18,PHYSICS,6
643,19,PHYSICS,0
644,20,PHYSICS,19
645,21,PHYSICS,1
646,22,PHYSICS,0
647,23,PHYSICS,4
648,24,PHYSICS,9
649,25,PHYSICS,0
650,26,PHYSICS,127
651,27,PHYSICS,92
652,28,PHYSICS,1
653,29,PHYSICS,0
654,30,PHYSICS,0
655,31,PHYSICS,0
656,32,PHYSICS,78
657,33,PHYSICS,44
658,34,PHYSICS,142
659,35,PHYSICS,0
660,36,PHYSICS,0
661,37,PHYSICS,2
662,38,PHYSICS,2
663,39,PHYSICS,1
664,40,PHYSICS,0
665,41,PHYSICS,0
666,42,PHYSICS,99
667,43,PHYSICS,0
668,44,PHYSICS,0
669,45,PHYSICS,1
670,46,PHYSICS,1
671,47,PHYSICS,0
672,0,NEUROSCIENCE & BEHAVIOR,263
673,1,NEUROSCIENCE & BEHAVIOR,0
674,2,NEUROSCIENCE & BEHAVIOR,11
675,3,NEUROSCIENCE & BEHAVIOR,6
676,4,NEUROSCIENCE & BEHAVIOR,28
677,5,NEUROSCIENCE & BEHAVIOR,0
678,6,NEUROSCIENCE & BEHAVIOR,2
679,7,NEUROSCIENCE & BEHAVIOR,0
680,8,NEUROSCIENCE & BEHAVIOR,0
681,9,NEUROSCIENCE & BEHAVIOR,126
682,10,NEUROSCIENCE & BEHAVIOR,10
683,11,NEUROSCIENCE & BEHAVIOR,21
684,12,NEUROSCIENCE & BEHAVIOR,0
685,13,NEUROSCIENCE & BEHAVIOR,0
686,14,NEUROSCIENCE & BEHAVIOR,0
687,15,NEUROSCIENCE & BEHAVIOR,0
