,Topic,Discipline,Quantity
511,55,PSYCHIATRY/PSYCHOLOGY,0
512,56,PSYCHIATRY/PSYCHOLOGY,0
513,0,PLANT & ANIMAL SCIENCE,666
514,1,PLANT & ANIMAL SCIENCE,4
515,2,PLANT & ANIMAL SCIENCE,115
516,3,PLANT & ANIMAL SCIENCE,18
517,4,PLANT & ANIMAL SCIENCE,53
518,5,PLANT & ANIMAL SCIENCE,6
519,6,PLANT & ANIMAL SCIENCE,0
520,7,PLANT & ANIMAL SCIENCE,0
521,8,PLANT & ANIMAL SCIENCE,29
522,9,PLANT & ANIMAL SCIENCE,3
523,10,PLANT & ANIMAL SCIENCE,3
524,11,PLANT & ANIMAL SCIENCE,2
525,12,PLANT & ANIMAL SCIENCE,0
526,13,PLANT & ANIMAL SCIENCE,0
527,14,PLANT & ANIMAL SCIENCE,0
528,15,PLANT & ANIMAL SCIENCE,3
529,16,PLANT & ANIMAL SCIENCE,5
530,17,PLANT & ANIMAL SCIENCE,2
531,18,PLANT & ANIMAL SCIENCE,0
532,19,PLANT & ANIMAL SCIENCE,0
533,20,PLANT & ANIMAL SCIENCE,4
534,21,PLANT & ANIMAL SCIENCE,7
535,22,PLANT & ANIMAL SCIENCE,14
536,23,PLANT & ANIMAL SCIENCE,1
537,24,PLANT & ANIMAL SCIENCE,0
538,25,PLANT & ANIMAL SCIENCE,1
539,26,PLANT & ANIMAL SCIENCE,0
540,27,PLANT & ANIMAL SCIENCE,18
541,28,PLANT & ANIMAL SCIENCE,40
542,29,PLANT & ANIMAL SCIENCE,0
543,30,PLANT & ANIMAL SCIENCE,17
544,31,PLANT & ANIMAL SCIENCE,0
545,32,PLANT & ANIMAL SCIENCE,95
546,33,PLANT & ANIMAL SCIENCE,8
547,34,PLANT & ANIMAL SCIENCE,0
548,35,PLANT & ANIMAL SCIENCE,0
549,36,PLANT & ANIMAL SCIENCE,1
550,37,PLANT & ANIMAL SCIENCE,2
551,38,PLANT & ANIMAL SCIENCE,0
552,39,PLANT & ANIMAL SCIENCE,0
553,40,PLANT & ANIMAL SCIENCE,3
554,41,PLANT & ANIMAL SCIENCE,8
555,42,PLANT & ANIMAL SCIENCE,10
556,43,PLANT & ANIMAL SCIENCE,0
557,44,PLANT & ANIMAL SCIENCE,0
558,45,PLANT & ANIMAL SCIENCE,6
559,46,PLANT & ANIMAL SCIENCE,2
560,47,PLANT & ANIMAL SCIENCE,5
561,48,PLANT & ANIMAL SCIENCE,0
562,49,PLANT & ANIMAL SCIENCE,0
563,50,PLANT & ANIMAL SCIENCE,3
564,51,PLANT & ANIMAL SCIENCE,0
565,52,PLANT & ANIMAL SCIENCE,1
566,53,PLANT & ANIMAL SCIENCE,3
567,54,PLANT & ANIMAL SCIENCE,0
568,55,PLANT & ANIMAL SCIENCE,0
569,56,PLANT & ANIMAL SCIENCE,1
570,0,"SOCIAL SCIENCES, GENERAL",1
571,1,"SOCIAL SCIENCES, GENERAL",1
572,2,"SOCIAL SCIENCES, GENERAL",4
573,3,"SOCIAL SCIENCES, GENERAL",0
574,4,"SOCIAL SCIENCES, GENERAL",2
575,5,"SOCIAL SCIENCES, GENERAL",6
576,6,"SOCIAL SCIENCES, GENERAL",0
577,7,"SOCIAL SCIENCES, GENERAL",10
578,8,"SOCIAL SCIENCES, GENERAL",0
579,9,"SOCIAL SCIENCES, GENERAL",0
580,10,"SOCIAL SCIENCES, GENERAL",7
581,11,"SOCIAL SCIENCES, GENERAL",0
582,12,"SOCIAL SCIENCES, GENERAL",0
583,13,"SOCIAL SCIENCES, GENERAL",0
584,14,"SOCIAL SCIENCES, GENERAL",0
585,15,"SOCIAL SCIENCES, GENERAL",0
586,16,"SOCIAL SCIENCES, GENERAL",0
587,17,"SOCIAL SCIENCES, GENERAL",0
588,18,"SOCIAL SCIENCES, GENERAL",0
589,19,"SOCIAL SCIENCES, GENERAL",1
590,20,"SOCIAL SCIENCES, GENERAL",0
591,21,"SOCIAL SCIENCES, GENERAL",0
592,22,"SOCIAL SCIENCES, GENERAL",0
593,23,"SOCIAL SCIENCES, GENERAL",1
594,24,"SOCIAL SCIENCES, GENERAL",7
595,25,"SOCIAL SCIENCES, GENERAL",0
596,26,"SOCIAL SCIENCES, GENERAL",0
597,27,"SOCIAL SCIENCES, GENERAL",0
598,28,"SOCIAL SCIENCES, GENERAL",1
599,29,"SOCIAL SCIENCES, GENERAL",1
600,30,"SOCIAL SCIENCES, GENERAL",0
601,31,"SOCIAL SCIENCES, GENERAL",0
602,32,"SOCIAL SCIENCES, GENERAL",0
603,33,"SOCIAL SCIENCES, GENERAL",0
604,34,"SOCIAL SCIENCES, GENERAL",0
605,35,"SOCIAL SCIENCES, GENERAL",0
606,36,"SOCIAL SCIENCES, GENERAL",0
607,37,"SOCIAL SCIENCES, GENERAL",0
608,38,"SOCIAL SCIENCES, GENERAL",0
609,39,"SOCIAL SCIENCES, GENERAL",0
610,40,"SOCIAL SCIENCES, GENERAL",0
611,41,"SOCIAL SCIENCES, GENERAL",0
612,42,"SOCIAL SCIENCES, GENERAL",0
613,43,"SOCIAL SCIENCES, GENERAL",0
614,44,"SOCIAL SCIENCES, GENERAL",0
615,45,"SOCIAL SCIENCES, GENERAL",0
616,46,"SOCIAL SCIENCES, GENERAL",0
617,47,"SOCIAL SCIENCES, GENERAL",0
618,48,"SOCIAL SCIENCES, GENERAL",0
619,49,"SOCIAL SCIENCES, GENERAL",1
620,50,"SOCIAL SCIENCES, GENERAL",0
621,51,"SOCIAL SCIENCES, GENERAL",0
622,52,"SOCIAL SCIENCES, GENERAL",0
623,53,"SOCIAL SCIENCES, GENERAL",1
624,54,"SOCIAL SCIENCES, GENERAL",0
625,55,"SOCIAL SCIENCES, GENERAL",0
626,56,"SOCIAL SCIENCES, GENERAL",0
